adduser	3.118ubuntu5
libgirepository-1.0-1:amd64	1.72.0-1
libglib2.0-0:amd64	2.72.4-0ubuntu2.6
libglib2.0-bin	2.72.4-0ubuntu2.6
libglib2.0-data	2.72.4-0ubuntu2.6
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.7
libgomp1:amd64	12.3.0-1ubuntu1~22.04
libgpg-error0:amd64	1.43-3
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.7
libgstreamer1.0-0:amd64	1.20.3-0ubuntu1.1
libhiredis0.14:amd64	0.14.1-2
libhogweed6:amd64	3.7.3-1build2
libibverbs-dev:amd64	39.0-1
libibverbs1:amd64	39.0-1
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libip4tc2:amd64	1.8.7-1ubuntu5.2
libisl23:amd64	0.24-2build1
libitm1:amd64	12.3.0-1ubuntu1~22.04
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libjson-c5:amd64	0.15-3~ubuntu1.22.04.2
libjsoncpp25:amd64	1.9.5-3
libk5crypto3:amd64	1.19.2-2ubuntu0.7
libkeyutils1:amd64	1.6.1-2ubuntu3
libkmod2:amd64	29-1ubuntu1
libkrb5-3:amd64	1.19.2-2ubuntu0.7
libkrb5support0:amd64	1.19.2-2ubuntu0.7
libksba8:amd64	1.6.0-2ubuntu0.2
libldap-2.5-0:amd64	2.5.19+dfsg-0ubuntu0.22.04.1
liblsan0:amd64	12.3.0-1ubuntu1~22.04
liblz4-1:amd64	1.9.3-2build2
liblzma5:amd64	5.2.5-2ubuntu1
libmagic-mgc	1:5.41-3ubuntu0.1
libmagic1:amd64	1:5.41-3ubuntu0.1
libmd0:amd64	1.0.4-1build1
libmount1:amd64	2.37.2-4ubuntu3.4
libmpc3:amd64	1.2.1-2build1
libmpdec3:amd64	2.5.1-2build2
libmpfr6:amd64	4.1.0-3build3
libnccl-dev	2.27.3-1+cuda12.9
libnccl2	2.27.3-1+cuda12.9
libncurses6:amd64	6.3-2ubuntu0.1
libncursesw6:amd64	6.3-2ubuntu0.1
libnettle8:amd64	3.7.3-1build2
libnghttp2-14:amd64	1.43.0-1ubuntu0.2
libnl-3-200:amd64	3.5.0-0.1
libnl-3-dev:amd64	3.5.0-0.1
libnl-route-3-200:amd64	3.5.0-0.1
libnl-route-3-dev:amd64	3.5.0-0.1
libnpp-12-9	12.4.1.87-1
libnpp-dev-12-9	12.4.1.87-1
libnpth0:amd64	1.6-3build2
libnsl-dev:amd64	1.3.0-2build2
libnsl2:amd64	1.3.0-2build2
libnss-systemd:amd64	249.11-0ubuntu3.17
libnuma-dev:amd64	2.0.14-3ubuntu2
libnuma1:amd64	2.0.14-3ubuntu2
libnvfatbin-12-9	12.9.82-1
libnvfatbin-dev-12-9	12.9.82-1
libnvjitlink-12-9	12.9.86-1
libnvjitlink-dev-12-9	12.9.86-1
libnvjpeg-12-9	12.4.0.76-1
libnvjpeg-dev-12-9	12.4.0.76-1
libp11-kit0:amd64	0.24.0-6build1
libpackagekit-glib2-18:amd64	1.2.5-2ubuntu3
libpam-cap:amd64	1:2.44-1ubuntu0.22.04.2
libpam-modules:amd64	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-runtime	1.4.0-11ubuntu2.6
libpam-systemd:amd64	249.11-0ubuntu3.17
libpam0g:amd64	1.4.0-11ubuntu2.6
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libperl5.34:amd64	5.34.0-3ubuntu1.4
libpolkit-agent-1-0:amd64	0.105-33
libpolkit-gobject-1-0:amd64	0.105-33
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpython3-dev:amd64	3.10.6-1~22.04.1
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libpython3.10:amd64	3.10.12-1~22.04.11
libpython3.10-dev:amd64	3.10.12-1~22.04.11
libpython3.10-minimal:amd64	3.10.12-1~22.04.11
libpython3.10-stdlib:amd64	3.10.12-1~22.04.11
libpython3.11:amd64	3.11.14-1+jammy1
libpython3.11-dev:amd64	3.11.14-1+jammy1
libpython3.11-minimal:amd64	3.11.14-1+jammy1
libpython3.11-stdlib:amd64	3.11.14-1+jammy1
libquadmath0:amd64	12.3.0-1ubuntu1~22.04
libreadline8:amd64	8.1.2-1
librhash0:amd64	1.4.2-1ubuntu1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu3~22.04.1
libselinux1:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsepol2:amd64	3.3-1build1
libsmartcols1:amd64	2.37.2-4ubuntu3.4
libsqlite3-0:amd64	3.37.2-2ubuntu0.4
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.5
libssl3:amd64	3.0.2-0ubuntu1.19
libstdc++-11-dev:amd64	11.4.0-1ubuntu1~22.04
libstdc++6:amd64	12.3.0-1ubuntu1~22.04
libstemmer0d:amd64	2.2.0-1build1
libsystemd0:amd64	249.11-0ubuntu3.17
libtasn1-6:amd64	4.18.0-4ubuntu0.1
libtinfo6:amd64	6.3-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libtsan0:amd64	11.4.0-1ubuntu1~22.04
libubsan1:amd64	12.3.0-1ubuntu1~22.04
libudev1:amd64	249.11-0ubuntu3.16
libunistring2:amd64	1.0-1
libunwind8:amd64	1.3.2-2build2.1
libuuid1:amd64	2.37.2-4ubuntu3.4
libuv1:amd64	1.43.0-1ubuntu0.1
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libxau6:amd64	1:1.0.9-1build5
libxcb1:amd64	1.14-3ubuntu3
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext6:amd64	2:1.3.4-1build1
libxml2:amd64	2.9.13+dfsg-1ubuntu0.10
libxmlb2:amd64	0.3.6-2build1
libxmuu1:amd64	2:1.1.3-3
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.2-1build2
libzstd1:amd64	1.4.8+dfsg-3build1
linux-libc-dev:amd64	5.15.0-144.157
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lto-disabled-list	24
mailcap	3.70+nmu1ubuntu1
make	4.3-4.1build1
mawk	1.3.4.20200120-3
media-types	7.0.0
mime-support	3.66
mount	2.37.2-4ubuntu3.4
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
networkd-dispatcher	2.1-2ubuntu0.22.04.2
ninja-build	1.10.1-1
nsight-compute-2025.2.1	2025.2.1.3-1
openssh-client	1:8.9p1-3ubuntu0.13
openssl	3.0.2-0ubuntu1.19
packagekit	1.2.5-2ubuntu3
packagekit-tools	1.2.5-2ubuntu3
passwd	1:4.8.1-2ubuntu2.2
patch	2.7.6-7build2
perl	5.34.0-3ubuntu1.4
perl-base	5.34.0-3ubuntu1.4
perl-modules-5.34	5.34.0-3ubuntu1.4
pinentry-curses	1.1.1-1build2
pkexec	0.105-33
policykit-1	0.105-33
polkitd	0.105-33
procps	2:3.3.17-6ubuntu2.1
publicsuffix	20211207.1025-1
python-apt-common	2.4.0ubuntu4
python3	3.10.6-1~22.04.1
python3-apt	2.4.0ubuntu4
python3-blinker	1.4+dfsg1-0.4
python3-cffi-backend:amd64	1.15.0-1build2
python3-cryptography	3.4.8-1ubuntu2.2
python3-dbus	1.2.18-3build1
python3-dev	3.10.6-1~22.04.1
python3-distro	1.7.0-1
python3-distro-info	1.1ubuntu0.2
python3-distutils	3.10.8-1~22.04
python3-gi	3.42.1-0ubuntu1
python3-httplib2	0.20.2-2
python3-importlib-metadata	4.6.4-1
python3-jeepney	0.7.1-3
python3-jwt	2.3.0-1ubuntu0.2
python3-keyring	23.5.0-1
python3-launchpadlib	1.10.16-1
python3-lazr.restfulclient	0.14.4-1
python3-lazr.uri	1.0.6-2
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04.1
python3-more-itertools	8.10.0-2
python3-oauthlib	3.2.0-1ubuntu0.1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-pyparsing	2.4.7-1
python3-secretstorage	3.3.1-1
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-six	1.16.0-3ubuntu1
python3-software-properties	0.99.22.9
python3-wadllib	1.3.6-1
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3-zipp	1.0.0-3ubuntu0.1
python3.10	3.10.12-1~22.04.11
python3.10-dev	3.10.12-1~22.04.11
python3.10-minimal	3.10.12-1~22.04.11
python3.11	3.11.14-1+jammy1
python3.11-dev	3.11.14-1+jammy1
python3.11-minimal	3.11.14-1+jammy1
python3.11-venv	3.11.14-1+jammy1
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
sed	4.8-1ubuntu2
sensible-utils	0.0.17
shared-mime-info	2.1-2
software-properties-common	0.99.22.9
systemd	249.11-0ubuntu3.17
systemd-sysv	249.11-0ubuntu3.17
systemd-timesyncd	249.11-0ubuntu3.17
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tzdata	2025b-0ubuntu0.22.04.1
ubuntu-keyring	2021.03.26
ucf	3.0043
unattended-upgrades	2.8ubuntu1
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.4
xauth	1:1.1-1build2
xdg-user-dirs	0.17-2ubuntu4
xz-utils	5.2.5-2ubuntu1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
